Period,Date,GNN_SAC,Equal_Weight,Buy_and_Hold
China_2015,2015-08-18,0.9838555064223692,0.9909455392226345,0.9908572934569181
China_2015,2015-08-19,0.9742534319778955,0.9791102148399685,0.9791070370174046
China_2015,2015-08-20,0.9571022996066804,0.9585007188356536,0.9584362576740137
China_2015,2015-08-21,0.931195692912532,0.9278331653119555,0.9278053104646187
China_2015,2015-08-24,0.89884637565588,0.8931807048081352,0.8931939712487733
China_2015,2015-08-25,0.8834208116685623,0.8820563432641404,0.8819030486827103
China_2015,2015-08-26,0.9168096400440524,0.9166836895736908,0.9165078963016432
China_2015,2015-08-27,0.9366812128309501,0.9397301145146727,0.939244619048566
China_2015,2015-08-28,0.9391869589703303,0.9424490957572069,0.9418872315097676
China_2015,2015-08-31,0.9337836573421188,0.9374672059681116,0.9368874248730151
China_2015,2015-09-01,0.9076364013117691,0.9080168954967139,0.907519436754203
China_2015,2015-09-02,0.922319107911205,0.9236030261336022,0.923063244637109
China_2015,2015-09-03,0.920402880719223,0.9252037962488374,0.9246482212723804
China_2015,2015-09-04,0.9012919528917271,0.9086488923226222,0.9081339613298306
China_2015,2015-09-08,0.925610542834453,0.9322758349063887,0.9317241005079906
China_2015,2015-09-09,0.910434766831318,0.9193415046855158,0.9188095041576102
China_2015,2015-09-10,0.9149249100869209,0.9260143004719152,0.9253982659779884
China_2015,2015-09-11,0.9181641703326916,0.9284197758820119,0.9279041375217677
China_2015,2015-09-14,0.917123943297469,0.9239412958349749,0.9234300521432575
China_2015,2015-09-15,0.9309800073914949,0.9362493035741258,0.935696953414539
China_2015,2015-09-16,0.9389720565210424,0.9468745336039367,0.9460981857322054
China_2015,2015-09-17,0.928988899630332,0.9405921546158809,0.9398761433442498
China_2015,2015-09-18,0.9084369038289496,0.9225842741375636,0.9219668304564423
China_2015,2015-09-21,0.9098499399658777,0.9273557944366376,0.9267857990622465
China_2015,2015-09-22,0.9003094268889379,0.9167722599763212,0.9162432521701472
China_2015,2015-09-23,0.8960232730013709,0.9123069145512513,0.911842561668044
China_2015,2015-09-24,0.8895714361339891,0.9079948856671385,0.9076203267999926
Volpocalypse_2018,2018-01-29,1.0,1.0,1.0
Volpocalypse_2018,2018-01-30,0.9850131207074928,0.9877920441681008,0.9877920441681013
Volpocalypse_2018,2018-01-31,0.981826132033831,0.9861319651005851,0.9861671837303603
Volpocalypse_2018,2018-02-01,0.9836194233087009,0.9838581584361534,0.9838516592485
Volpocalypse_2018,2018-02-02,0.9577795351908746,0.9607515304820848,0.9607060201685069
Volpocalypse_2018,2018-02-05,0.9179232656152764,0.92047362048734,0.920359288045698
Volpocalypse_2018,2018-02-06,0.9323858397971116,0.9400137644133961,0.9399107548931356
Volpocalypse_2018,2018-02-07,0.9287890932370392,0.9379947338023342,0.937805501808737
Volpocalypse_2018,2018-02-08,0.897988474467806,0.9037129387928082,0.9034017042363113
Volpocalypse_2018,2018-02-09,0.9053704660150369,0.9141315793190671,0.9137032521375242
Volpocalypse_2018,2018-02-12,0.9193416508246737,0.9270599737192536,0.926721773006679
Volpocalypse_2018,2018-02-13,0.9236240999203827,0.9296209480751044,0.9293640860126845
Volpocalypse_2018,2018-02-14,0.9329122238395107,0.941039435512237,0.9409031149296423
Volpocalypse_2018,2018-02-15,0.946216887159466,0.9527309174122339,0.9527789792534207
Volpocalypse_2018,2018-02-16,0.9468194380306857,0.9521177727690161,0.9520210114991361
Volpocalypse_2018,2018-02-20,0.9242452240961172,0.9430136524954689,0.9430228203783808
Volpocalypse_2018,2018-02-21,0.9122165855417343,0.9352409802865144,0.9354620109261399
Volpocalypse_2018,2018-02-22,0.921450418120695,0.9372939821656497,0.9374565318830578
Volpocalypse_2018,2018-02-23,0.932154802937814,0.950545880230037,0.9507835959388029
Volpocalypse_2018,2018-02-26,0.944148536757263,0.9632900875029562,0.9636758906527617
Volpocalypse_2018,2018-02-27,0.931003970712624,0.9534620167466896,0.9540787378856103
Volpocalypse_2018,2018-02-28,0.9177356327798667,0.9405361432957092,0.9413735165517917
Volpocalypse_2018,2018-03-01,0.9058039028848507,0.9287822637436761,0.9292455215888716
Volpocalypse_2018,2018-03-02,0.906108729795772,0.9300942226916622,0.9306069839431098
Volpocalypse_2018,2018-03-05,0.917897326352833,0.940052148082623,0.9406393546881484
Volpocalypse_2018,2018-03-06,0.920474671877473,0.9428822458993198,0.943419622252376
Volpocalypse_2018,2018-03-07,0.9176105011556309,0.9421503386188393,0.9428213127896048
Volpocalypse_2018,2018-03-08,0.9234317840394197,0.9458198440803187,0.9464303513909461
Volpocalypse_2018,2018-03-09,0.9359590602414829,0.9610359302854306,0.9618288783497911
Volpocalypse_2018,2018-03-12,0.932430934427227,0.9587874409411401,0.9595758441484996
Volpocalypse_2018,2018-03-13,0.9279978388466515,0.952749091855479,0.9533256780902829
Volpocalypse_2018,2018-03-14,0.920479908785551,0.9463466830895451,0.9469589793078989
Volpocalypse_2018,2018-03-15,0.9238602076436908,0.9455705746686522,0.9461676212771155
