Event_Driven,Static_Graph,LSTM_SAC,Mean_Variance,Buy_and_Hold
102412.3101214409,102353.11048810808,97575.01187677914,67386.65094900469,103278.62753584264
101087.94454696176,102101.2774856294,97362.4496209912,67506.11391021822,102821.53164441082
101957.121029348,102634.08930552658,97770.15795864782,67965.49528484541,103434.88315959633
101915.50500986158,101749.79549308836,97082.93807891598,67340.7224617354,102974.01678927545
102660.45344345576,102491.82627936424,97429.45452154089,67046.68750135502,103204.01989464289
102495.03029403945,102286.91246841382,97732.19358091947,66982.36574540623,103595.46379462157
102495.116103161,102500.18432874256,97905.5931589512,66954.81122642958,103766.94576998714
101418.87147812902,101552.10421467725,97076.1667090071,65962.45610207037,102728.40967221945
101881.32355180898,103192.44034748801,98490.91812080277,67276.38783886205,104156.75152526812
101426.69182642052,103776.69165838655,98567.066400448,67037.506950671,104021.00247841068
98472.44158674219,104492.35133021018,98949.9927078542,66734.2914396066,104390.55776815239
98678.84076097458,105062.24831816432,99384.80268922518,66899.68288808942,104513.61406873552
97232.07327799234,104779.72870609023,98923.47921131848,67258.02030403171,104447.60031893458
93784.81822012312,104230.81608673786,98153.94815302346,64771.59098109821,103807.4316074549
94699.39493014387,104413.31017712805,98009.99404985299,64592.65648044835,103804.80609614048
93676.74709529046,103547.86173426424,96919.30820700583,63904.392966284904,102524.748335037
